index,SongID,TimeStamp_Central,Performer,Album,Song,TimeStamp_UTC
6681,Any Day Now (My Wild Beautiful Bird)Chuck Jackson,1/9/2021 8:37:00 AM,Chuck Jackson,Any Day Now,Any Day Now (My Wild Beautiful Bird),1/9/2021 2:37:00 PM
6682,Hang on Little TomatoPink Martini,1/9/2021 2:04:00 AM,Pink Martini,Hang On Little Tomato,Hang on Little Tomato,1/9/2021 8:04:00 AM
6683,Let's Never Stop Falling In LovePink Martini,1/8/2021 11:25:00 PM,Pink Martini,Hang On Little Tomato,Let's Never Stop Falling In Love,1/9/2021 5:25:00 AM
6684,Backlash BluesNina Simone,1/8/2021 11:22:00 PM,Nina Simone,Nina Simone Sings The Blues,Backlash Blues,1/9/2021 5:22:00 AM
6685,Feeling GoodNina Simone,1/8/2021 11:19:00 PM,Nina Simone,The Soul Of Nina Simone,Feeling Good,1/9/2021 5:19:00 AM
6686,Wind Cries MaryJamie Cullum,1/8/2021 11:16:00 PM,Jamie Cullum,Twentysomething,Wind Cries Mary,1/9/2021 5:16:00 AM
6687,Blame It On My YouthJamie Cullum,1/8/2021 11:12:00 PM,Jamie Cullum,Twentysomething,Blame It On My Youth,1/9/2021 5:12:00 AM
6688,I Get A Kick Out Of YouJamie Cullum,1/8/2021 11:08:00 PM,Jamie Cullum,Twentysomething,I Get A Kick Out Of You,1/9/2021 5:08:00 AM
6689,These Are The DaysJamie Cullum,1/8/2021 11:05:00 PM,Jamie Cullum,Twentysomething,These Are The Days,1/9/2021 5:05:00 AM
6690,Blue AlertAnjani Thomas,1/8/2021 10:59:00 PM,Anjani Thomas,Blue Alert,Blue Alert,1/9/2021 4:59:00 AM
6691,Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks)Miley Cyrus,1/8/2021 6:12:00 PM,Miley Cyrus,Plastic Hearts,Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks),1/9/2021 12:12:00 AM
6692,Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks)Miley Cyrus,1/8/2021 6:07:00 PM,Miley Cyrus,Plastic Hearts,Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks),1/9/2021 12:07:00 AM
6693,Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks)Miley Cyrus,1/8/2021 6:07:00 PM,Miley Cyrus,Plastic Hearts,Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks),1/9/2021 12:07:00 AM
6694,Love SongZak Abel,1/8/2021 6:04:00 PM,Zak Abel,Love Song,Love Song,1/9/2021 12:04:00 AM
6695,AamonKUURO,1/8/2021 6:00:00 PM,KUURO,Aamon,Aamon,1/9/2021 12:00:00 AM
6696,How LongCharlie Puth,1/8/2021 5:57:00 PM,Charlie Puth,Voicenotes,How Long,1/8/2021 11:57:00 PM
6697,HereAlessia Cara,1/8/2021 5:53:00 PM,Alessia Cara,Know-It-All (Deluxe),Here,1/8/2021 11:53:00 PM
6698,New RulesDua Lipa,1/8/2021 5:50:00 PM,Dua Lipa,Dua Lipa,New Rules,1/8/2021 11:50:00 PM
6699,Déjà vu AffairSofi Tukker,1/8/2021 5:46:00 PM,Sofi Tukker,Déjà vu Affair,Déjà vu Affair,1/8/2021 11:46:00 PM
6700,Sex and CandyMaroon 5,1/8/2021 5:42:00 PM,Maroon 5,V (Deluxe),Sex and Candy,1/8/2021 11:42:00 PM
6701,Animals - ExtendedMartin Garrix,1/8/2021 5:37:00 PM,Martin Garrix,Animals (Extended),Animals - Extended,1/8/2021 11:37:00 PM
6702,Suitcase - Live At The Cherrytree House/2013Matthew Koma,1/8/2021 5:32:00 PM,Matthew Koma,The Cherrytree Sessions,Suitcase - Live At The Cherrytree House/2013,1/8/2021 11:32:00 PM
6703,Better - AcousticThe Vamps,1/8/2021 5:28:00 PM,The Vamps,Cherry Blossom (Extended Pt. 1),Better - Acoustic,1/8/2021 11:28:00 PM
6704,Love MyselfHailee Steinfeld,1/8/2021 5:26:00 PM,Hailee Steinfeld,HAIZ,Love Myself,1/8/2021 11:26:00 PM
6705,Lost & FoundThe Polish Ambassador,1/8/2021 5:22:00 PM,The Polish Ambassador,Pushing Through the Pavement,Lost & Found,1/8/2021 11:22:00 PM
6706,SuckerJonas Brothers,1/8/2021 5:16:00 PM,Jonas Brothers,Happiness Begins,Sucker,1/8/2021 11:16:00 PM
6707,No Flex Zone (Remix)Karmin,1/8/2021 5:13:00 PM,Karmin,No Flex Zone (Remix) - Single,No Flex Zone (Remix),1/8/2021 11:13:00 PM
6708,CrazyKat Dahlia,1/8/2021 5:09:00 PM,Kat Dahlia,My Garden,Crazy,1/8/2021 11:09:00 PM
6709,GorgeousTaylor Swift,1/8/2021 5:06:00 PM,Taylor Swift,reputation,Gorgeous,1/8/2021 11:06:00 PM
6710,PerfectEd Sheeran,1/8/2021 5:02:00 PM,Ed Sheeran,÷ (Deluxe),Perfect,1/8/2021 11:02:00 PM
6711,Show your colorsGenevieve,1/8/2021 4:58:00 PM,Genevieve,Show Your Colors,Show your colors,1/8/2021 10:58:00 PM
6712,StayZedd,1/8/2021 4:55:00 PM,Zedd,Stay,Stay,1/8/2021 10:55:00 PM
6713,GracelandAllan Rayman,1/8/2021 4:51:00 PM,Allan Rayman,Hotel Allan,Graceland,1/8/2021 10:51:00 PM
6714,HelloAdele,1/8/2021 4:46:00 PM,Adele,25,Hello,1/8/2021 10:46:00 PM
6715,FRIENDSMarshmello,1/8/2021 4:41:00 PM,Marshmello,FRIENDS,FRIENDS,1/8/2021 10:41:00 PM
6716,Look What You Made Me DoTaylor Swift,1/8/2021 4:38:00 PM,Taylor Swift,reputation,Look What You Made Me Do,1/8/2021 10:38:00 PM
6717,Love & War - DOLF RemixYellow Claw,1/8/2021 4:35:00 PM,Yellow Claw,Love & War (feat. Yade Lauren) [Remixes],Love & War - DOLF Remix,1/8/2021 10:35:00 PM
6718,Best Day (Angry Birds 2 Remix)Kesha,1/8/2021 4:31:00 PM,Kesha,Best Day (Angry Birds 2 Remix),Best Day (Angry Birds 2 Remix),1/8/2021 10:31:00 PM
6719,Soft & GentleThe Polish Ambassador,1/8/2021 4:28:00 PM,The Polish Ambassador,Soft & Gentle,Soft & Gentle,1/8/2021 10:28:00 PM
6720,Girls Like You (feat. Cardi B)Maroon 5,1/8/2021 4:03:00 PM,Maroon 5,Girls Like You (feat. Cardi B),Girls Like You (feat. Cardi B),1/8/2021 10:03:00 PM
6721,Beautiful (feat. Camila Cabello)Bazzi,1/8/2021 3:59:00 PM,Bazzi,Beautiful (feat. Camila Cabello),Beautiful (feat. Camila Cabello),1/8/2021 9:59:00 PM
6722,CloseNick Jonas,1/8/2021 3:56:00 PM,Nick Jonas,Last Year Was Complicated,Close,1/8/2021 9:56:00 PM
6723,Tessellate - Bonus TrackEllie Goulding,1/8/2021 3:52:00 PM,Ellie Goulding,Halcyon Days,Tessellate - Bonus Track,1/8/2021 9:52:00 PM
6724,Million ReasonsLady Gaga,1/8/2021 3:48:00 PM,Lady Gaga,Joanne (Deluxe),Million Reasons,1/8/2021 9:48:00 PM
6725,Ain't My FaultZara Larsson,1/8/2021 3:45:00 PM,Zara Larsson,So Good,Ain't My Fault,1/8/2021 9:45:00 PM
6726,Truth HurtsLizzo,1/8/2021 3:41:00 PM,Lizzo,Cuz I Love You (Super Deluxe),Truth Hurts,1/8/2021 9:41:00 PM
6727,Slow HandsNiall Horan,1/8/2021 3:38:00 PM,Niall Horan,Flicker (Deluxe),Slow Hands,1/8/2021 9:38:00 PM
6728,Stormy WeatherGreat Dane,1/8/2021 3:35:00 PM,Great Dane,Alpha Dog,Stormy Weather,1/8/2021 9:35:00 PM
6729,His DaughterMolly Kate Kestner,1/8/2021 3:32:00 PM,Molly Kate Kestner,His Daughter,His Daughter,1/8/2021 9:32:00 PM
6730,Saturday AfternoonSweet Oscar,1/8/2021 3:26:00 PM,Sweet Oscar,Back Alley Conversations,Saturday Afternoon,1/8/2021 9:26:00 PM
6731,IssuesJulia Michaels,1/8/2021 3:24:00 PM,Julia Michaels,Nervous System,Issues,1/8/2021 9:24:00 PM
6732,The HoneySAYGRACE,1/8/2021 3:21:00 PM,SAYGRACE,Memo,The Honey,1/8/2021 9:21:00 PM
6733,HurricaneMisterWives,1/8/2021 2:35:00 PM,MisterWives,Our Own House,Hurricane,1/8/2021 8:35:00 PM
6734,Seeing StarsBØRNS,1/8/2021 2:31:00 PM,BØRNS,Seeing Stars,Seeing Stars,1/8/2021 8:31:00 PM
6735,Vision FiberopticsThe Polish Ambassador,1/8/2021 2:28:00 PM,The Polish Ambassador,Pushing Through the Pavement,Vision Fiberoptics,1/8/2021 8:28:00 PM
6736,Dance MonkeyTones and I,1/8/2021 2:22:00 PM,Tones and I,Dance Monkey (Stripped Back) / Dance Monkey,Dance Monkey,1/8/2021 8:22:00 PM
6737,Bad at LoveHalsey,1/8/2021 2:19:00 PM,Halsey,hopeless fountain kingdom (Deluxe),Bad at Love,1/8/2021 8:19:00 PM
6738,Hard On MeGorgon City,1/8/2021 2:16:00 PM,Gorgon City,Sirens,Hard On Me,1/8/2021 8:16:00 PM
6739,exile (feat. Bon Iver)Taylor Swift,1/8/2021 2:11:00 PM,Taylor Swift,folklore,exile (feat. Bon Iver),1/8/2021 8:11:00 PM
6740,exile (feat. Bon Iver)Taylor Swift,1/8/2021 2:08:00 PM,Taylor Swift,folklore,exile (feat. Bon Iver),1/8/2021 8:08:00 PM
6741,Lay By MeFireKid,1/6/2021 10:41:00 AM,FireKid,Firekid,Lay By Me,1/6/2021 4:41:00 PM
6742,Shadows (feat. Grieves)Cydeways,1/6/2021 10:38:00 AM,Cydeways,Shadows (feat. Grieves),Shadows (feat. Grieves),1/6/2021 4:38:00 PM
6743,Good So BadEric Tessmer,1/6/2021 10:34:00 AM,Eric Tessmer,Eric Tessmer 2,Good So Bad,1/6/2021 4:34:00 PM
6744,The Way We MoveLanghorne Slim,1/6/2021 10:14:00 AM,Langhorne Slim,The Way We Move,The Way We Move,1/6/2021 4:14:00 PM
6745,Save Me Some SunshineRafferty,1/6/2021 10:11:00 AM,Rafferty,Save Me Some Sunshine,Save Me Some Sunshine,1/6/2021 4:11:00 PM
6746,Sirens (feat. Dirty Heads)Sublime with Rome,1/6/2021 10:08:00 AM,Sublime with Rome,Sirens,Sirens (feat. Dirty Heads),1/6/2021 4:08:00 PM
6747,Tiger LiliesSun On Shade,1/6/2021 8:52:00 AM,Sun On Shade,Sun On Shade,Tiger Lilies,1/6/2021 2:52:00 PM
6748,I Can ChangeLake Street Dive,1/6/2021 7:59:00 AM,Lake Street Dive,I Can Change,I Can Change,1/6/2021 1:59:00 PM
6749,Way With WordsBahamas,1/6/2021 7:55:00 AM,Bahamas,Way With Words,Way With Words,1/6/2021 1:55:00 PM
6750,Starting OverChris Stapleton,1/6/2021 7:51:00 AM,Chris Stapleton,Starting Over,Starting Over,1/6/2021 1:51:00 PM
6751,Yellow EyesRayland Baxter,1/6/2021 7:47:00 AM,Rayland Baxter,Imaginary Man,Yellow Eyes,1/6/2021 1:47:00 PM
6752,Always Be My Baby - Recorded at Sound Stage NashvilleAnderson East,1/6/2021 7:43:00 AM,Anderson East,Spotify Singles,Always Be My Baby - Recorded at Sound Stage Nashville,1/6/2021 1:43:00 PM
6753,Let's Be StillThe Head and the Heart,1/6/2021 7:38:00 AM,The Head and the Heart,Let's Be Still,Let's Be Still,1/6/2021 1:38:00 PM
6754,Green Mountain StateTrevor Hall,1/6/2021 7:34:00 AM,Trevor Hall,Chapter Of The Forest,Green Mountain State,1/6/2021 1:34:00 PM
6755,Never in My Wildest DreamsDan Auerbach,1/6/2021 7:31:00 AM,Dan Auerbach,Waiting on a Song,Never in My Wildest Dreams,1/6/2021 1:31:00 PM
6756,Hey MamaNathaniel Rateliff & the Night Sweats,1/6/2021 7:27:00 AM,Nathaniel Rateliff & the Night Sweats,Tearing at the Seams,Hey Mama,1/6/2021 1:27:00 PM
6757,Slow HandsNiall Horan,1/6/2021 7:18:00 AM,Niall Horan,Flicker (Deluxe),Slow Hands,1/6/2021 1:18:00 PM
6758,You Need to Calm DownTaylor Swift,1/6/2021 7:15:00 AM,Taylor Swift,Lover,You Need to Calm Down,1/6/2021 1:15:00 PM
6759,TrampolineShaed,1/6/2021 7:12:00 AM,Shaed,MELT,Trampoline,1/6/2021 1:12:00 PM
6760,Truth HurtsLizzo,1/6/2021 7:07:00 AM,Lizzo,Cuz I Love You (Deluxe),Truth Hurts,1/6/2021 1:07:00 PM
6761,1950King Princess,1/6/2021 7:03:00 AM,King Princess,1950,1950,1/6/2021 1:03:00 PM
6762,The BonesMaren Morris,1/6/2021 6:59:00 AM,Maren Morris,GIRL,The Bones,1/6/2021 12:59:00 PM
6763,Amy's FriendBombadil,1/5/2021 7:53:00 PM,Bombadil,Hold On,Amy's Friend,1/6/2021 1:53:00 AM
6764,PeachesIn the Valley Below,1/5/2021 7:12:00 PM,In the Valley Below,The Belt,Peaches,1/6/2021 1:12:00 AM
6765,Weeds or WishesErin & The Wildfire,1/5/2021 7:08:00 PM,Erin & The Wildfire,Erin & The Wildfire,Weeds or Wishes,1/6/2021 1:08:00 AM
6766,Cha Cha Cha - Go RemixJimmy Luxury,1/5/2021 7:04:00 PM,Jimmy Luxury,GO Music From The Motion Picture,Cha Cha Cha - Go Remix,1/6/2021 1:04:00 AM
6767,Your Love Will Blow Me Away When My Heart AchesSon Little,1/5/2021 7:01:00 PM,Son Little,Things I Forgot,Your Love Will Blow Me Away When My Heart Aches,1/6/2021 1:01:00 AM
6768,Won't Go QuietlyAll That Remains,1/5/2021 6:24:00 PM,All That Remains,For We Are Many,Won't Go Quietly,1/6/2021 12:24:00 AM
6769,Wild RideJimkata,1/5/2021 6:19:00 PM,Jimkata,In Motion,Wild Ride,1/6/2021 12:19:00 AM
6770,Park AveConspirator,1/5/2021 6:10:00 PM,Conspirator,Unlocked: Live From The Georgia Theatre,Park Ave,1/6/2021 12:10:00 AM
6771,Burn With MeWhilk & Misky,1/5/2021 6:05:00 PM,Whilk & Misky,Burn With Me,Burn With Me,1/6/2021 12:05:00 AM
6772,StinkfistTool,1/5/2021 6:00:00 PM,Tool,Ænima,Stinkfist,1/6/2021 12:00:00 AM
6773,Porno DisasterThe Octopus Project,1/5/2021 5:57:00 PM,The Octopus Project,Identification Parade,Porno Disaster,1/5/2021 11:57:00 PM
6774,Windows (Feat. Prof)Atmosphere,1/5/2021 5:54:00 PM,Atmosphere,Windows (feat. Prof),Windows (Feat. Prof),1/5/2021 11:54:00 PM
6775,Lay Me DownFortunate Ones,1/5/2021 5:50:00 PM,Fortunate Ones,The Bliss,Lay Me Down,1/5/2021 11:50:00 PM
6776,Clothes Off - Single VersionRia Mae,1/5/2021 5:47:00 PM,Ria Mae,Clothes Off,Clothes Off - Single Version,1/5/2021 11:47:00 PM
6777,Alabama Song (Whisky Bar)The Doors,1/5/2021 5:43:00 PM,The Doors,The Complete Studio Albums,Alabama Song (Whisky Bar),1/5/2021 11:43:00 PM
6778,The WizardBrownout,1/5/2021 5:39:00 PM,Brownout,Brownout Presents Brown Sabbath,The Wizard,1/5/2021 11:39:00 PM
6779,TrampolineShaed,1/5/2021 5:36:00 PM,Shaed,MELT,Trampoline,1/5/2021 11:36:00 PM
6780,Pot Roast And KissesThe Reverend Peyton's Big Damn Band,1/5/2021 5:31:00 PM,The Reverend Peyton's Big Damn Band,So Delicious,Pot Roast And Kisses,1/5/2021 11:31:00 PM
6781,What's The DifferenceDr. Dre,1/5/2021 5:27:00 PM,Dr. Dre,2001,What's The Difference,1/5/2021 11:27:00 PM
6782,Dub Me To The River - Daniel Scholz Indaba RemixSon Little,1/5/2021 4:27:00 PM,Son Little,Dub Me To The River (Daniel Scholz Indaba Remix),Dub Me To The River - Daniel Scholz Indaba Remix,1/5/2021 10:27:00 PM
6783,You'll Be BackJonathan Groff,1/5/2021 4:23:00 PM,Jonathan Groff,Hamilton (Original Broadway Cast Recording),You'll Be Back,1/5/2021 10:23:00 PM
6784,Blinding LightsThe Weeknd,1/5/2021 4:20:00 PM,The Weeknd,After Hours,Blinding Lights,1/5/2021 10:20:00 PM
6785,Animaniacs - Opening TitleAnimaniacs,1/5/2021 4:19:00 PM,Animaniacs,Steven Spielberg Presents Animaniacs (Soundtrack from the Original Series),Animaniacs - Opening Title,1/5/2021 10:19:00 PM
6786,Never Had Nobody Like YouM. Ward,1/5/2021 4:19:00 PM,M. Ward,Hold Time,Never Had Nobody Like You,1/5/2021 10:19:00 PM
6787,PinYeah Yeah Yeahs,1/5/2021 4:02:00 PM,Yeah Yeah Yeahs,Fever To Tell,Pin,1/5/2021 10:02:00 PM
6788,My WayFrank Sinatra,1/5/2021 3:57:00 PM,Frank Sinatra,My Way (Expanded Edition),My Way,1/5/2021 9:57:00 PM
6789,Long Way DownRobert DeLong,1/5/2021 3:53:00 PM,Robert DeLong,In The Cards,Long Way Down,1/5/2021 9:53:00 PM
6790,Sleep AwakeSoulcrate Music,1/5/2021 3:49:00 PM,Soulcrate Music,The Heartland Panic,Sleep Awake,1/5/2021 9:49:00 PM
6791,Kickstart My HeartMötley Crüe,1/5/2021 3:44:00 PM,Mötley Crüe,Dr. Feelgood,Kickstart My Heart,1/5/2021 9:44:00 PM
6792,Buffalo SoldierBob Marley & The Wailers,1/5/2021 3:40:00 PM,Bob Marley & The Wailers,Legend - The Best Of Bob Marley And The Wailers,Buffalo Soldier,1/5/2021 9:40:00 PM
6793,Midnight SpecialWillie Watson,1/5/2021 3:35:00 PM,Willie Watson,Folk Singer Vol. 1,Midnight Special,1/5/2021 9:35:00 PM
6794,Log CabinPhontaine,1/5/2021 3:31:00 PM,Phontaine,Log Cabin,Log Cabin,1/5/2021 9:31:00 PM
6795,California Love - Original Version2Pac,1/5/2021 3:26:00 PM,2Pac,Greatest Hits,California Love - Original Version,1/5/2021 9:26:00 PM
6796,HaloSoil,1/5/2021 3:23:00 PM,Soil,Scars (Expanded Edition),Halo,1/5/2021 9:23:00 PM
6797,Sing To MeMISSIO,1/5/2021 3:20:00 PM,MISSIO,DEATH STRANDING: Timefall (Original Music from the World of Death Stranding),Sing To Me,1/5/2021 9:20:00 PM
6798,Love Me DeadLudo,1/5/2021 3:16:00 PM,Ludo,You're Awful I Love You,Love Me Dead,1/5/2021 9:16:00 PM
6799,Crocodile TearsLittle Hurricane,1/5/2021 3:12:00 PM,Little Hurricane,Homewrecker,Crocodile Tears,1/5/2021 9:12:00 PM
6800,Lifestyles of the Rich & FamousGood Charlotte,1/5/2021 3:09:00 PM,Good Charlotte,The Young and the Hopeless,Lifestyles of the Rich & Famous,1/5/2021 9:09:00 PM
6801,James DeanJr Jr,1/5/2021 3:06:00 PM,Jr Jr,James Dean,James Dean,1/5/2021 9:06:00 PM
6802,New RulesDua Lipa,1/5/2021 3:02:00 PM,Dua Lipa,Dua Lipa,New Rules,1/5/2021 9:02:00 PM
6803,Slow an' Easy - US Mix; 2019 RemasterWhitesnake,1/5/2021 2:56:00 PM,Whitesnake,Slide It In (The Ultimate Edition; 2019 Remaster),Slow an' Easy - US Mix; 2019 Remaster,1/5/2021 8:56:00 PM
6804,Whatever Haunts YouTaddy Porter,1/5/2021 2:52:00 PM,Taddy Porter,Taddy Porter,Whatever Haunts You,1/5/2021 8:52:00 PM
6805,Pacing Like PrinceRyan Montbleau Band,1/5/2021 2:49:00 PM,Ryan Montbleau Band,Growing Light,Pacing Like Prince,1/5/2021 8:49:00 PM
6806,UpsideAllen Stone,1/5/2021 2:45:00 PM,Allen Stone,Radius (Deluxe Edition),Upside,1/5/2021 8:45:00 PM
6807,LeviathanTropidelic,1/5/2021 2:41:00 PM,Tropidelic,Heavy is the Head,Leviathan,1/5/2021 8:41:00 PM
6808,Fool For LoveLord Huron,1/5/2021 2:36:00 PM,Lord Huron,Strange Trails,Fool For Love,1/5/2021 8:36:00 PM
6809,Stormy WeatherGreat Dane,1/5/2021 2:34:00 PM,Great Dane,Alpha Dog,Stormy Weather,1/5/2021 8:34:00 PM
6810,We All Got ProblemsCaleb Hawley,1/5/2021 2:30:00 PM,Caleb Hawley,Love Drugs & Decisions,We All Got Problems,1/5/2021 8:30:00 PM
6811,How LongCharlie Puth,1/5/2021 2:27:00 PM,Charlie Puth,Voicenotes,How Long,1/5/2021 8:27:00 PM
6812,Speedom (Wwc2)Tech N9ne,1/5/2021 2:22:00 PM,Tech N9ne,Special Effects,Speedom (Wwc2),1/5/2021 8:22:00 PM
6813,Billie JeanThe Civil Wars,1/5/2021 2:18:00 PM,The Civil Wars,Between The Bars (EP),Billie Jean,1/5/2021 8:18:00 PM
6814,All Your Light (Times Like These)Portugal. The Man,1/5/2021 2:13:00 PM,Portugal. The Man,In the Mountain in the Cloud,All Your Light (Times Like These),1/5/2021 8:13:00 PM
6815,GiantMatrimony,1/5/2021 2:10:00 PM,Matrimony,Montibello Memories,Giant,1/5/2021 8:10:00 PM
6816,BREAKFAST CLUBDJ Z-Trip,1/5/2021 2:05:00 PM,DJ Z-Trip,Shifting Gears (Explicit Version),BREAKFAST CLUB,1/5/2021 8:05:00 PM
6817,Out the DoorStick Figure,1/5/2021 2:00:00 PM,Stick Figure,Set in Stone,Out the Door,1/5/2021 8:00:00 PM
6818,WorryJack Garratt,1/5/2021 1:56:00 PM,Jack Garratt,Remnants,Worry,1/5/2021 7:56:00 PM
6819,Lil Darlin (feat. The O'Mys)ZZ Ward,1/5/2021 1:53:00 PM,ZZ Ward,Til the Casket Drops,Lil Darlin (feat. The O'Mys),1/5/2021 7:53:00 PM
6820,Super Rich KidsFrank Ocean,1/5/2021 1:47:00 PM,Frank Ocean,channel ORANGE,Super Rich Kids,1/5/2021 7:47:00 PM
6821,My Song 5 - RemixHAIM,1/5/2021 1:44:00 PM,HAIM,My Song 5,My Song 5 - Remix,1/5/2021 7:44:00 PM
6822,Do It RightAnne-Marie,1/5/2021 1:40:00 PM,Anne-Marie,Do it Right,Do It Right,1/5/2021 7:40:00 PM
6823,75 and SunnyRyan Montbleau Band,1/5/2021 1:34:00 PM,Ryan Montbleau Band,Stages: Volume II,75 and Sunny,1/5/2021 7:34:00 PM
6824,Fire on the Horizon (LabRat Remix)Stick Figure,1/5/2021 1:29:00 PM,Stick Figure,Fire on the Horizon (LabRat Remix),Fire on the Horizon (LabRat Remix),1/5/2021 7:29:00 PM
6825,Weary EyesStick Figure,1/5/2021 1:26:00 PM,Stick Figure,Set in Stone,Weary Eyes,1/5/2021 7:26:00 PM
6826,The Pledge (In and Out)Curren$y,1/5/2021 1:23:00 PM,Curren$y,Jet Files,The Pledge (In and Out),1/5/2021 7:23:00 PM
6827,LuxuryJon Bellion,1/5/2021 1:19:00 PM,Jon Bellion,The Definition,Luxury,1/5/2021 7:19:00 PM
6828,SoberTool,1/5/2021 1:14:00 PM,Tool,Undertow,Sober,1/5/2021 7:14:00 PM
6829,Oh What A WorldRufus Wainwright,1/5/2021 1:10:00 PM,Rufus Wainwright,Want One,Oh What A World,1/5/2021 7:10:00 PM
6830,Missed OpportunityHall & Oates,1/5/2021 1:05:00 PM,Hall & Oates,Ooh Yeah!,Missed Opportunity,1/5/2021 7:05:00 PM
6831,Persona Non GrataBright Eyes,1/5/2021 1:01:00 PM,Bright Eyes,Persona Non Grata,Persona Non Grata,1/5/2021 7:01:00 PM
6832,DualitySlipknot,1/5/2021 12:57:00 PM,Slipknot,Antennas To Hell,Duality,1/5/2021 6:57:00 PM
6833,Wulf Fang FistJULESTHEWULF,1/5/2021 12:54:00 PM,JULESTHEWULF,Wulf Fang Fist,Wulf Fang Fist,1/5/2021 6:54:00 PM
6834,Sweet Cream In ItJel,1/5/2021 12:52:00 PM,Jel,Soft Money,Sweet Cream In It,1/5/2021 6:52:00 PM
6835,Put Your Money on MeThe Struts,1/5/2021 12:48:00 PM,The Struts,Everybody Wants,Put Your Money on Me,1/5/2021 6:48:00 PM
6836,Rock OnDef Leppard,1/5/2021 12:45:00 PM,Def Leppard,Yeah!,Rock On,1/5/2021 6:45:00 PM
6837,Ten Thousand FistsDisturbed,1/5/2021 12:42:00 PM,Disturbed,Ten Thousand Fists,Ten Thousand Fists,1/5/2021 6:42:00 PM
6838,Adam's Songblink-182,1/5/2021 12:38:00 PM,blink-182,Enema of the State,Adam's Song,1/5/2021 6:38:00 PM
6839,DeterminedMudvayne,1/5/2021 12:35:00 PM,Mudvayne,Lost and Found,Determined,1/5/2021 6:35:00 PM
6840,Burn It To The GroundNickelback,1/5/2021 12:31:00 PM,Nickelback,Dark Horse,Burn It To The Ground,1/5/2021 6:31:00 PM
6841,GRRRLSAviva,1/5/2021 12:28:00 PM,Aviva,Grrrls,GRRRLS,1/5/2021 6:28:00 PM
6842,I Want YouMarian Hill,1/5/2021 12:24:00 PM,Marian Hill,Act One,I Want You,1/5/2021 6:24:00 PM
6843,MelancholyChill Bump,1/5/2021 12:21:00 PM,Chill Bump,Hidden Strings - EP,Melancholy,1/5/2021 6:21:00 PM
6844,Elvis Presley BluesTom Jones,1/5/2021 12:17:00 PM,Tom Jones,Long Lost Suitcase,Elvis Presley Blues,1/5/2021 6:17:00 PM
6845,Not FallingMudvayne,1/5/2021 12:13:00 PM,Mudvayne,The End of All Things to Come,Not Falling,1/5/2021 6:13:00 PM
6846,Mannish Boy - Ruckus Roboticus RemixMuddy Waters,1/5/2021 12:08:00 PM,Muddy Waters,Mannish Boy (Ruckus Roboticus Remix),Mannish Boy - Ruckus Roboticus Remix,1/5/2021 6:08:00 PM
6847,You Send MeCaught a Ghost,1/5/2021 12:06:00 PM,Caught a Ghost,You send me,You Send Me,1/5/2021 6:06:00 PM
6848,All Nightmare LongMetallica,1/5/2021 11:58:00 AM,Metallica,Death Magnetic,All Nightmare Long,1/5/2021 5:58:00 PM
6849,Graveyard - AcousticHalsey,1/5/2021 11:54:00 AM,Halsey,Graveyard (Acoustic),Graveyard - Acoustic,1/5/2021 5:54:00 PM
6850,Pool Of Booze Booze BoozaVolbeat,1/5/2021 11:50:00 AM,Volbeat,The Strength / The Sound / The Songs,Pool Of Booze Booze Booza,1/5/2021 5:50:00 PM
6851,Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks)Miley Cyrus,1/5/2021 11:46:00 AM,Miley Cyrus,Plastic Hearts,Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks),1/5/2021 5:46:00 PM
6852,Square PusherElisey,1/5/2021 11:44:00 AM,Elisey,Square Pusher,Square Pusher,1/5/2021 5:44:00 PM
6853,golden beanslokeyz,1/5/2021 11:42:00 AM,lokeyz,espresso time,golden beans,1/5/2021 5:42:00 PM
6854,doodlessonolon,1/5/2021 11:40:00 AM,sonolon,graffiti tape,doodles,1/5/2021 5:40:00 PM
6855,pogost1cky,1/5/2021 11:39:00 AM,st1cky,glitch,pogo,1/5/2021 5:39:00 PM
6856,Black FoamSkinny Cap,1/5/2021 11:37:00 AM,Skinny Cap,Black Foam,Black Foam,1/5/2021 5:37:00 PM
6857,Lost WorldAvatron,1/5/2021 11:34:00 AM,Avatron,Lost World,Lost World,1/5/2021 5:34:00 PM
6858,Wax PoetryDazik69,1/5/2021 11:32:00 AM,Dazik69,Wax Poetry,Wax Poetry,1/5/2021 5:32:00 PM
6859,Lackluster LegacyTwinkz,1/5/2021 11:31:00 AM,Twinkz,Jam Session,Lackluster Legacy,1/5/2021 5:31:00 PM
6860,Saturday AfternoonSweet Oscar,1/5/2021 11:29:00 AM,Sweet Oscar,Back Alley Conversations,Saturday Afternoon,1/5/2021 5:29:00 PM
6861,GeoGuustavv,1/5/2021 11:27:00 AM,Guustavv,Dimma,Geo,1/5/2021 5:27:00 PM
